epoch: 0, iteration: 52000, simlex-999: SpearmanrResult(correlation=-0.06158342127277493, pvalue=0.05685463314024728), men: SpearmanrResult(correlation=0.03103421036993761, pvalue=0.11426328669663495), sim353: SpearmanrResult(correlation=-0.06709872241935787, pvalue=0.23280091485875443), nearest to monster: ['monster', 'jack', 'committed', 'month', 'channels', 'liberty', 'stable', 'participate', 'kievan', 'artificially']
epoch: 0, iteration: 54000, simlex-999: SpearmanrResult(correlation=-0.06063334886727565, pvalue=0.06079385928604918), men: SpearmanrResult(correlation=0.03142100781618295, pvalue=0.10981816811831092), sim353: SpearmanrResult(correlation=-0.06765904461124722, pvalue=0.22891383696507533), nearest to monster: ['monster', 'jack', 'committed', 'channels', 'month', 'liberty', 'stable', 'participate', 'kievan', 'artificially']
epoch: 0, iteration: 56000, simlex-999: SpearmanrResult(correlation=-0.05899713663774745, pvalue=0.06810599257539501), men: SpearmanrResult(correlation=0.032561989181096235, pvalue=0.09749812346450432), sim353: SpearmanrResult(correlation=-0.06668300552174565, pvalue=0.23571478922689856), nearest to monster: ['monster', 'jack', 'committed', 'channels', 'month', 'liberty', 'stable', 'kievan', 'participate', 'artificially']
epoch: 0, iteration: 58000, simlex-999: SpearmanrResult(correlation=-0.060545681682591584, pvalue=0.06116845903717966), men: SpearmanrResult(correlation=0.03297789477743483, pvalue=0.09329189766195597), sim353: SpearmanrResult(correlation=-0.06490072194634533, pvalue=0.24849807450416056), nearest to monster: ['monster', 'jack', 'committed', 'channels', 'month', 'liberty', 'kievan', 'stable', 'participate', 'artificially']
epoch: 0, iteration: 60000, simlex-999: SpearmanrResult(correlation=-0.05845367676555246, pvalue=0.07068885202273424), men: SpearmanrResult(correlation=0.03270603217664137, pvalue=0.09602453269462143), sim353: SpearmanrResult(correlation=-0.06857145737126685, pvalue=0.22268303675947404), nearest to monster: ['monster', 'jack', 'committed', 'channels', 'month', 'liberty', 'kievan', 'participate', 'stable', 'artificially']
epoch: 0, iteration: 62000, simlex-999: SpearmanrResult(correlation=-0.05923807421114709, pvalue=0.06698595975189944), men: SpearmanrResult(correlation=0.032116853577078656, pvalue=0.10216638232476506), sim353: SpearmanrResult(correlation=-0.06295815972864302, pvalue=0.2629718832647011), nearest to monster: ['monster', 'jack', 'committed', 'channels', 'month', 'liberty', 'participate', 'artificially', 'kievan', 'stable']
epoch: 0, iteration: 64000, simlex-999: SpearmanrResult(correlation=-0.06113335851135962, pvalue=0.058693441587015636), men: SpearmanrResult(correlation=0.03194959683173252, pvalue=0.10396573670796551), sim353: SpearmanrResult(correlation=-0.06372708671924442, pvalue=0.2571749151939588), nearest to monster: ['monster', 'jack', 'committed', 'month', 'channels', 'participate', 'liberty', 'kievan', 'artificially', 'stable']
epoch: 0, iteration: 66000, simlex-999: SpearmanrResult(correlation=-0.05984667177366449, pvalue=0.0642240971539514), men: SpearmanrResult(correlation=0.03300739768366436, pvalue=0.09299913745095996), sim353: SpearmanrResult(correlation=-0.06354647004200535, pvalue=0.25852859432521513), nearest to monster: ['monster', 'jack', 'committed', 'channels', 'month', 'liberty', 'kievan', 'participate', 'artificially', 'stable']
epoch: 0, iteration: 68000, simlex-999: SpearmanrResult(correlation=-0.06159445668599614, pvalue=0.05681015415858887), men: SpearmanrResult(correlation=0.03319058973868488, pvalue=0.0911977631932086), sim353: SpearmanrResult(correlation=-0.06176661210379937, pvalue=0.2721312013991907), nearest to monster: ['monster', 'jack', 'committed', 'month', 'channels', 'kievan', 'participate', 'artificially', 'liberty', 'stable']
epoch: 0, iteration: 70000, simlex-999: SpearmanrResult(correlation=-0.060477839905282584, pvalue=0.06145965360681945), men: SpearmanrResult(correlation=0.034095770742752066, pvalue=0.08270443404461213), sim353: SpearmanrResult(correlation=-0.062362945678650646, pvalue=0.26752042190867353), nearest to monster: ['monster', 'jack', 'committed', 'month', 'channels', 'participate', 'kievan', 'artificially', 'liberty', 'stable']
epoch: 0, iteration: 72000, simlex-999: SpearmanrResult(correlation=-0.059792590033932794, pvalue=0.06446566234209937), men: SpearmanrResult(correlation=0.034911142379152896, pvalue=0.07561327106212865), sim353: SpearmanrResult(correlation=-0.061253869718414115, pvalue=0.27613871070519597), nearest to monster: ['monster', 'jack', 'committed', 'month', 'channels', 'kievan', 'artificially', 'liberty', 'participate', 'stable']
epoch: 0, iteration: 74000, simlex-999: SpearmanrResult(correlation=-0.06047752499894997, pvalue=0.061461007934104285), men: SpearmanrResult(correlation=0.035244989750420196, pvalue=0.07285670260281932), sim353: SpearmanrResult(correlation=-0.06094842601940549, pvalue=0.2785449526369502), nearest to monster: ['monster', 'jack', 'committed', 'month', 'channels', 'kievan', 'artificially', 'participate', 'liberty', 'stable']
epoch: 0, iteration: 76000, simlex-999: SpearmanrResult(correlation=-0.06163503168237459, pvalue=0.05664686236451786), men: SpearmanrResult(correlation=0.03610444545940609, pvalue=0.06613672151790013), sim353: SpearmanrResult(correlation=-0.06169626862516392, pvalue=0.27267863699707445), nearest to monster: ['monster', 'month', 'committed', 'jack', 'channels', 'kievan', 'artificially', 'liberty', 'participate', 'stable']
epoch: 0, iteration: 78000, simlex-999: SpearmanrResult(correlation=-0.06125304345512282, pvalue=0.05819970010510063), men: SpearmanrResult(correlation=0.03716447462543353, pvalue=0.05856007417799471), sim353: SpearmanrResult(correlation=-0.059002318639649914, pvalue=0.29420905805729347), nearest to monster: ['monster', 'month', 'committed', 'jack', 'channels', 'artificially', 'kievan', 'participate', 'liberty', 'stable']
epoch: 0, iteration: 80000, simlex-999: SpearmanrResult(correlation=-0.06091325267644146, pvalue=0.05961051941876366), men: SpearmanrResult(correlation=0.037704126891191334, pvalue=0.05498855753375793), sim353: SpearmanrResult(correlation=-0.05529687794410188, pvalue=0.3256302193285866), nearest to monster: ['monster', 'committed', 'month', 'channels', 'jack', 'kievan', 'artificially', 'participate', 'stable', 'liberty']
epoch: 0, iteration: 82000, simlex-999: SpearmanrResult(correlation=-0.059030386638997685, pvalue=0.06795051668150642), men: SpearmanrResult(correlation=0.03822390513476294, pvalue=0.05172202439738056), sim353: SpearmanrResult(correlation=-0.05574841963719953, pvalue=0.32168912131721744), nearest to monster: ['monster', 'committed', 'month', 'jack', 'kievan', 'channels', 'artificially', 'participate', 'stable', 'liberty']
epoch: 0, iteration: 84000, simlex-999: SpearmanrResult(correlation=-0.059205960611010196, pvalue=0.0671343642086027), men: SpearmanrResult(correlation=0.03875261112669467, pvalue=0.04856747191216834), sim353: SpearmanrResult(correlation=-0.05186628060141866, pvalue=0.35658768774442706), nearest to monster: ['monster', 'committed', 'month', 'channels', 'jack', 'kievan', 'artificially', 'participate', 'liberty', 'stable']
epoch: 0, iteration: 86000, simlex-999: SpearmanrResult(correlation=-0.06037341422707154, pvalue=0.06191011461500776), men: SpearmanrResult(correlation=0.039218325322204435, pvalue=0.04592406648999476), sim353: SpearmanrResult(correlation=-0.048747844106897566, pvalue=0.38627603029481006), nearest to monster: ['monster', 'month', 'committed', 'channels', 'kievan', 'jack', 'artificially', 'adolescence', 'participate', 'liberty']
epoch: 0, iteration: 88000, simlex-999: SpearmanrResult(correlation=-0.061690297743748505, pvalue=0.05642507475603674), men: SpearmanrResult(correlation=0.03878572598584348, pvalue=0.04837538416256838), sim353: SpearmanrResult(correlation=-0.04726652613107019, pvalue=0.4008897222050072), nearest to monster: ['monster', 'month', 'committed', 'channels', 'kievan', 'jack', 'artificially', 'adolescence', 'liberty', 'participate']
epoch: 0, iteration: 90000, simlex-999: SpearmanrResult(correlation=-0.059190071532792814, pvalue=0.06720789121177594), men: SpearmanrResult(correlation=0.03991474421173289, pvalue=0.04219780035460668), sim353: SpearmanrResult(correlation=-0.05001365354738288, pvalue=0.3740485007354245), nearest to monster: ['monster', 'month', 'committed', 'channels', 'kievan', 'jack', 'artificially', 'adolescence', 'financial', 'liberty']
epoch: 0, iteration: 92000, simlex-999: SpearmanrResult(correlation=-0.059620637484745366, pvalue=0.06523869690229597), men: SpearmanrResult(correlation=0.04063544682523474, pvalue=0.03861405659450815), sim353: SpearmanrResult(correlation=-0.04782852761024794, pvalue=0.3953069005982186), nearest to monster: ['monster', 'month', 'committed', 'kievan', 'channels', 'jack', 'artificially', 'financial', 'liberty', 'adolescence']
epoch: 0, iteration: 94000, simlex-999: SpearmanrResult(correlation=-0.06166916479051411, pvalue=0.05650979780090661), men: SpearmanrResult(correlation=0.040397657279354036, pvalue=0.039766787041878804), sim353: SpearmanrResult(correlation=-0.04552006735115532, pvalue=0.4185370518909728), nearest to monster: ['monster', 'month', 'committed', 'channels', 'kievan', 'artificially', 'jack', 'adolescence', 'financial', 'liberty']
epoch: 0, iteration: 96000, simlex-999: SpearmanrResult(correlation=-0.06347233214264693, pvalue=0.0496512470493475), men: SpearmanrResult(correlation=0.041565442242865874, pvalue=0.03437442249167999), sim353: SpearmanrResult(correlation=-0.04273935418907504, pvalue=0.4475549137038394), nearest to monster: ['monster', 'month', 'committed', 'kievan', 'channels', 'artificially', 'adolescence', 'jack', 'financial', 'stable']
epoch: 0, iteration: 98000, simlex-999: SpearmanrResult(correlation=-0.06315667277314967, pvalue=0.050798907203491936), men: SpearmanrResult(correlation=0.04262101960419246, pvalue=0.030050179404283724), sim353: SpearmanrResult(correlation=-0.04401990404020279, pvalue=0.4340527544903914), nearest to monster: ['monster', 'month', 'committed', 'channels', 'kievan', 'artificially', 'adolescence', 'financial', 'jack', 'stable']
epoch: 0, iteration: 100000, simlex-999: SpearmanrResult(correlation=-0.06264221851250444, pvalue=0.05271684007093205), men: SpearmanrResult(correlation=0.04354337672228324, pvalue=0.026662694987401314), sim353: SpearmanrResult(correlation=-0.04578483498028985, pvalue=0.4158327787514964), nearest to monster: ['monster', 'month', 'committed', 'channels', 'kievan', 'artificially', 'adolescence', 'financial', 'jack', 'liberty']
epoch: 0, iteration: 102000, simlex-999: SpearmanrResult(correlation=-0.06343275663158504, pvalue=0.04979393274648849), men: SpearmanrResult(correlation=0.04314878655791561, pvalue=0.028069276151951213), sim353: SpearmanrResult(correlation=-0.048109341762360314, pvalue=0.39253495373875236), nearest to monster: ['monster', 'month', 'committed', 'channels', 'kievan', 'artificially', 'adolescence', 'financial', 'jack', 'stable']
epoch: 0, iteration: 104000, simlex-999: SpearmanrResult(correlation=-0.062471559817596646, pvalue=0.053366270037938264), men: SpearmanrResult(correlation=0.04404930993642075, pvalue=0.024948550226856155), sim353: SpearmanrResult(correlation=-0.04495452070992434, pvalue=0.4243477957870333), nearest to monster: ['monster', 'month', 'committed', 'channels', 'artificially', 'kievan', 'adolescence', 'financial', 'stable', 'liberty']
epoch: 0, iteration: 106000, simlex-999: SpearmanrResult(correlation=-0.06285490351123663, pvalue=0.05191672631111801), men: SpearmanrResult(correlation=0.04489815510239738, pvalue=0.022286480085633418), sim353: SpearmanrResult(correlation=-0.04193646827775306, pvalue=0.4561403509211328), nearest to monster: ['monster', 'month', 'committed', 'channels', 'artificially', 'kievan', 'adolescence', 'financial', 'stable', 'grave']
epoch: 0, iteration: 108000, simlex-999: SpearmanrResult(correlation=-0.06234357777654804, pvalue=0.053857663001197424), men: SpearmanrResult(correlation=0.04577796927968131, pvalue=0.019791289132002), sim353: SpearmanrResult(correlation=-0.04246152543658644, pvalue=0.4505154065890331), nearest to monster: ['monster', 'month', 'committed', 'channels', 'artificially', 'kievan', 'adolescence', 'financial', 'grave', 'liberty']
epoch: 0, iteration: 110000, simlex-999: SpearmanrResult(correlation=-0.06271471542690427, pvalue=0.0524429608780404), men: SpearmanrResult(correlation=0.044645256979665614, pvalue=0.023052502202668308), sim353: SpearmanrResult(correlation=-0.040062943426350785, pvalue=0.4765284857885521), nearest to monster: ['monster', 'month', 'committed', 'channels', 'artificially', 'kievan', 'adolescence', 'financial', 'grave', 'liberty']
epoch: 0, iteration: 112000, simlex-999: SpearmanrResult(correlation=-0.060600009870757504, pvalue=0.060936091773870146), men: SpearmanrResult(correlation=0.04509187212874929, pvalue=0.021714771317787363), sim353: SpearmanrResult(correlation=-0.04011462815733758, pvalue=0.4759594566498956), nearest to monster: ['monster', 'month', 'channels', 'committed', 'artificially', 'kievan', 'adolescence', 'financial', 'grave', 'liberty']
epoch: 0, iteration: 114000, simlex-999: SpearmanrResult(correlation=-0.05979774491368191, pvalue=0.06444260496856574), men: SpearmanrResult(correlation=0.04775796402741116, pvalue=0.015049582498768813), sim353: SpearmanrResult(correlation=-0.03734007238198136, pvalue=0.5070243736965034), nearest to monster: ['monster', 'month', 'channels', 'committed', 'artificially', 'kievan', 'adolescence', 'financial', 'grave', 'liberty']
epoch: 0, iteration: 116000, simlex-999: SpearmanrResult(correlation=-0.059956040112139626, pvalue=0.06373786502598829), men: SpearmanrResult(correlation=0.04761751295520609, pvalue=0.015349518949271869), sim353: SpearmanrResult(correlation=-0.039095114185814614, pvalue=0.48725211323582296), nearest to monster: ['monster', 'month', 'committed', 'channels', 'artificially', 'kievan', 'adolescence', 'financial', 'grave', 'liberty']
epoch: 0, iteration: 118000, simlex-999: SpearmanrResult(correlation=-0.05899583593767795, pvalue=0.06811208053657113), men: SpearmanrResult(correlation=0.04940370441481199, pvalue=0.011901109154228488), sim353: SpearmanrResult(correlation=-0.0399035977214312, pvalue=0.4782851531985749), nearest to monster: ['monster', 'month', 'committed', 'channels', 'artificially', 'adolescence', 'kievan', 'grave', 'financial', 'liberty']
